,main_artist,main_artist_ig,main_artist_tt,main_artist_yt
357,YG Marley,ygmarley,ygmarley,@YGMarley
358,Good Neighbours,goodneighboursband,goodneighboursband,@GoodNeighboursBand
359,Rich Amiri,richamiri,richamiri,@RichAmiri
360,Conner Smith,connersmithmusic,connersmithmusic,@ConnerSmithMusic
361,Christian Nodal,nodal,nodal,@ChristianNodal
362,Chris Janson,thechrisjanson,thechrisjanson,@ChrisJanson
363,Billy Joel,billyjoel,,@billyjoel
364,BossMan Dlow,bossman_dlow,bossmandlow,@BossmanDlow
365,Michael Marcagi,michaelmarcagi,michaelmarcagi,@MichaelMarcagi
366,Bryson Tiller,brysontiller,brysontiller,@BrysonTiller
367,Djo,djotime,djo,@Djo
368,Tucker Wetmore,tuckerwetmore,tuckerwetmore,@TuckerWetmore
369,LE SSERAFIM,le_sserafim,lesserafim_official,@LESSERAFIM_official
370,Twenty One Pilots,twentyonepilots,twentyonepilots,@twentyonepilots
371,Pharrell,pharrell,pharrell,@Pharrell
372,Dasha,dashanicsmusic,dashamusic,@DashaMusic
373,Kacey Musgraves,spaceykacey,spaceykacey,@KaceyMusgraves
374,Bryan Martin,bryanmartinofficial,bryanmartinofficial,@BryanMartin
375,FloyyMenor,floyy.menor,floymenor,@FloyyMenor
376,Artemas,artemas,artemasmusic,@Artemas
377,Joyner Lucas,joynerlucas,joynerlucas,@JoynerLucas
378,J. Cole,realcoleworld,,@JColeNC
379,Bakar,bakarrrr,bakarrrr,@Bakar
380,Chappell Roan,chappellroan,chappellroan,@ChappellRoan
381,ILLIT,illit_official,illit_official,@ILLIT_official
382,Shaboozey,shaboozey,shaboozey,@Shaboozey
383,Lay Bankz,laybankz,laybankz,@LayBankz
384,Ken Carson,kencarson,kencarson,@KenCarson
385,$uicideboy$,suicideboys,suicideboys,@Suicideboys
386,Tommy Richman,tommyrichman,tommyrichman,@TommyRichman
387,JT,thegirljt,thegirljt,@ThegirlJT
388,Mark Ambor,markambor,markambor,@MarkAmbor
389,Luis R Conriquez,luisrconriquez,luisrconriquez,@LuisRConriquez
390,Kenny Chesney,kennychesney,kennychesney,@KennyChesney
391,Myles Smith,mylesmith_,mylessmith,@MylesSmith
392,Koe Wetzel,koe_wetzel,koewetzel,@KoeWetzel
393,Shoreline Mafia,shorelinemafia,shorelinemafia,@ShorelineMafia
394,Central Cee,centralcee,centralcee,@CentralCee
395,Cris Mj,cris_emejota,cris_mj,@CrisMj
396,Kehlani,kehlani,kehlani,@Kehlani
397,Ashley Cooke,theashleycooke,theashleycooke,@AshleyCooke
398,Tinashe,tinashenow,tinashenow,@Tinashe
399,Gracie Abrams,gracieabrams,gracieabrams,@GracieAbrams
400,Ella Langley,ellalangley,ellalangley,@EllaLangley
401,Mustard,mustard,mustard,@DJMustard
402,Jordan Adetunji,jordanadetunji,jordanadetunji,@JordanAdetunji
403,Coldplay,coldplay,coldplay,@Coldplay
404,Kelsea Ballerini,kelseaballerini,kelseaballerini,@KelseaBallerini
405,LISA,lalalalisa_m,lalalalisa_m,@lalalalisa_m
406,Childish Gambino,childishgambino,,@ChildishGambino
407,Katy Perry,katyperry,katyperry,@KatyPerry
408,BossMan DLow,bossman_dlow,bossmandlow,@BossManDlow
409,Real Boston Richey,realbostonrichey,realbostonrichey,@RealBostonRichey
410,Sevdaliza,sevdaliza,sevdaliza,@Sevdaliza
411,Hanumankind,hanumankind,hanumankind,@Hanumankind
412,Royel Otis,royelotis,royelotis,@RoyelOtis
413,A$AP Rocky,asaprocky,asaprocky,@asaprocky
414,Richy Mitch,rmfb_band,,@RMFCTV
415,Drew Baldridge,drewbaldridgemusic,drewbaldridgemusic,@DrewBaldridgeMusic
416,Gigi Perez,gigiperezmusic,gigiperezmusic,@gigiperezmusic
417,Chase Matthew,chasematthew,chasematthew,@chasematthew
418,Tito Double P,titodoublep,titodoublep,@TitoDoubleP
419,Addison Rae,addisonraee,addisonre,@addisonrae
420,Surf Curse,surfcurse,surfcurse,@surfcurse
421,Playboi Carti,playboicarti,playboicarti,@PlayboiCarti
422,Zach Top,zach_top,zachtop,@ZachTopMusic
423,Alex Warren,alexwarren,alexwarren,@alexwarren
424,The Marias,themarias,themarias,@TheMarias
425,Odetari,odetari,odetari,@odetarimusic
426,KSI,ksi,ksi,@KSI
427,Jennie,jennierubyjane,jennierubyjane,@jennierubyjane
428,ROSE,roses_are_rosie,roses_are_rosie,@roses_are_rosie
429,Oscar Maydon,oscarmaydonn,oscarmaydon,@OscarMaydon
430,Brandon Lake,brandonlake,brandonlakemusic,@BrandonLake
431,Loe Shimmy,loeshimmy,loeshimmy,@LoeShimmy
432,Brooks & Dunn,brooksanddunn,brooksanddunn,@BrooksAndDunn
433,Cynthia Erivo,cynthiaerivo,cynthiaerivo,@CynthiaErivo
434,Jonathan Bailey,jbayleaf,,
435,Stromae,stromae,stromae,@Stromae
436,Laufey,laufey,laufey,@Laufey
437,Lola Young,lolayoung,lolayoungmusic,@LolaYoung
438,Sam Barber,sam_barber_music,sam_barber_music,@SamBarberMusic
439,Michael Buble,michaelbuble,michaelbuble,@MichaelBuble
440,Darlene Love,darleneloveworld,,
441,Gwen Stefani,gwenstefani,gwenstefani,@GwenStefani
442,Kesha,iiswhoiis,iiswhoiis,@Kesha
443,Neton Vega,netonvegaoficial,,
444,Dylan Marlowe,dylanmarlowemusic,dylanmarlowemusic,@DylanMarloweMusic
445,Ty Myers,,,
446,Gelo,,,
447,CHRYSTAL,chrystaltheartist,,
448,Imogen Heap,imogenheap,imogenheapmusic,@ImogenHeap
449,Leon Thomas,leonthomas,leonthomas,@LeonThomas
450,JENNIE,jennierubyjane,jennierubyjane,@jennierubyjane
451,Giveon,giveon,giveon,@Giveon
452,PARTYNEXTDOOR,partynextdoor,partynextdoor,@PARTYNEXTDOOR
453,Pimmie,pimmie,,
454,Bhad Bhabie,bhadbhabie,bhadbhabie,@BhadBhabie
455,Aleman,alemanhh,aleman_oficial,@AlemanOficial
456,Sleep Token,sleep_token,sleep_token,@SleepToken
457,John Morgan,johnmorganmusic,johnmorganmusic,@JohnMorganMusic
458,Ravyn Lenae,ravynlenae,ravynlenae,@RavynLenae
459,sombr,sombr.wav,,
460,LOCASH,locash,locash,@LOCASH
461,Malcolm Todd,malcolmtodd,malcolmtodd,@MalcolmTodd
