,title,song_id,main_artist
354,Hot Shit,"Hot Shit — Cardi B, Ye & Lil Durk",Cardi B
355,Master Of Puppets,Master Of Puppets — Metallica,Metallica
356,Son Of A Sinner,Son Of A Sinner — Jelly Roll,Jelly Roll
357,Good Love,Good Love — City Girls & Usher,City Girls
358,Wishful Drinking,Wishful Drinking — Ingrid Andress With Sam Hunt,Ingrid Andress
359,Country On,Country On — Luke Bryan,Luke Bryan
360,More,More — j-hope,j-hope
361,Numb,Numb — Marshmello & Khalid,Marshmello
362,Best Thing Since Backroads,Best Thing Since Backroads — Jake Owen,Jake Owen
363,Unstoppable,Unstoppable — Sia,Sia
364,Rich Minion,Rich Minion — Yeat,Yeat
365,Bad Habit,Bad Habit — Steve Lacy,Steve Lacy
366,All Mine,All Mine — Brent Faiyaz,Brent Faiyaz
367,Loose Change,Loose Change — Brent Faiyaz,Brent Faiyaz
368,Price Of Fame,Price Of Fame — Brent Faiyaz,Brent Faiyaz
369,Betty (Get Money),Betty (Get Money) — Yung Gravy,Yung Gravy
370,Rolling Stone,Rolling Stone — Brent Faiyaz,Brent Faiyaz
371,Last Last,Last Last — Burna Boy,Burna Boy
372,Ghetto Gatsby,Ghetto Gatsby — Brent Faiyaz Featuring Alicia Keys,Brent Faiyaz
373,Heal Your Heart (Interlude),Heal Your Heart (Interlude) — Brent Faiyaz,Brent Faiyaz
374,FYTB,FYTB — Brent Faiyaz Featuring Joony,Brent Faiyaz
375,2 Be Loved (Am I Ready),2 Be Loved (Am I Ready) — Lizzo,Lizzo
376,Truth About You,Truth About You — Mitchell Tenpenny,Mitchell Tenpenny
377,Free Mind,Free Mind — Tems,Tems
378,At The End Of A Bar,At The End Of A Bar — Chris Young With Mitchell Tenpenny,Chris Young
379,Arson,Arson — j-hope,j-hope
380,Pick Me Up,Pick Me Up — Gabby Barrett,Gabby Barrett
381,TV,TV — Billie Eilish,Billie Eilish
382,Pressurelicious,Pressurelicious — Megan Thee Stallion Featuring Future,Megan Thee Stallion
383,Progress,Progress — John Rich,John Rich
384,The 30th,The 30th — Billie Eilish,Billie Eilish
385,With A Woman You Love,With A Woman You Love — Justin Moore,Justin Moore
386,Love Lost,Love Lost — Mac Miller,Mac Miller
387,Vette Motors,Vette Motors — YoungBoy Never Broke Again,YoungBoy Never Broke Again
388,Are You Entertained,Are You Entertained — Russ & Ed Sheeran,Russ
389,"Bzrp Music Sessions, Vol. 52","Bzrp Music Sessions, Vol. 52 — Bizarrap & Quevedo",Bizarrap
390,Cuff It,Cuff It — Beyonce,Beyonce
