,chart_week,current_week,title,performers,last_week,peak_pos,wks_on_chart,song_id,main_artist
29,2024-06-22,30,Ain't No Love In Oklahoma,Luke Combs,29,23,4,Ain't No Love In Oklahoma — Luke Combs,Luke Combs
30,2024-06-22,31,Gata Only,FloyyMenor X Cris Mj,39,27,13,Gata Only — FloyyMenor X Cris Mj,FloyyMenor
31,2024-06-22,32,Yeah Glo!,GloRilla,28,28,18,Yeah Glo! — GloRilla,GloRilla
32,2024-06-22,33,Get It Sexyy,Sexyy Red,30,20,13,Get It Sexyy — Sexyy Red,Sexyy Red
33,2024-06-22,34,End Of Beginning,Djo,35,11,17,End Of Beginning — Djo,Djo
34,2024-06-22,35,Sweet Dreams,Koe Wetzel,50,35,4,Sweet Dreams — Koe Wetzel,Koe Wetzel
35,2024-06-22,36,Slow It Down,Benson Boone,40,36,12,Slow It Down — Benson Boone,Benson Boone
36,2024-06-22,37,Bulletproof,Nate Smith,44,37,10,Bulletproof — Nate Smith,Nate Smith
37,2024-06-22,38,Greedy,Tate McRae,38,3,39,Greedy — Tate McRae,Tate McRae
38,2024-06-22,39,One Of Wun,Gunna,31,26,5,One Of Wun — Gunna,Gunna
39,2024-06-22,40,Agora Hills,Doja Cat,42,7,38,Agora Hills — Doja Cat,Doja Cat
40,2024-06-22,41,Wildflower,Billie Eilish,32,17,4,Wildflower — Billie Eilish,Billie Eilish
41,2024-06-22,42,I Like The Way You Kiss Me,Artemas,36,12,12,I Like The Way You Kiss Me — Artemas,Artemas
42,2024-06-22,43,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",37,2,12,"Type Shit — Future, Metro Boomin, Travis Scott & Playboi Carti",Future
43,2024-06-22,44,I Can Do It With A Broken Heart,Taylor Swift,34,3,8,I Can Do It With A Broken Heart — Taylor Swift,Taylor Swift
44,2024-06-22,45,Stargazing,Myles Smith,41,41,5,Stargazing — Myles Smith,Myles Smith
45,2024-06-22,46,Where It Ends,Bailey Zimmerman,43,32,24,Where It Ends — Bailey Zimmerman,Bailey Zimmerman
46,2024-06-22,47,Euphoria,Kendrick Lamar,33,3,7,Euphoria — Kendrick Lamar,Kendrick Lamar
47,2024-06-22,48,Whatever She Wants,Bryson Tiller,45,19,17,Whatever She Wants — Bryson Tiller,Bryson Tiller
48,2024-06-22,49,Close To You,Gracie Abrams,-,49,1,Close To You — Gracie Abrams,Gracie Abrams
50,2024-06-22,51,L'amour De Ma Vie,Billie Eilish,47,22,4,L'amour De Ma Vie — Billie Eilish,Billie Eilish
51,2024-06-22,52,Halfway To Hell,Jelly Roll,48,48,10,Halfway To Hell — Jelly Roll,Jelly Roll
52,2024-06-22,53,U My Everything,Sexyy Red & Drake,49,44,3,U My Everything — Sexyy Red & Drake,Sexyy Red
53,2024-06-22,54,Down Bad,Taylor Swift,46,2,8,Down Bad — Taylor Swift,Taylor Swift
54,2024-06-22,55,Wild Ones,Jessie Murph & Jelly Roll,57,35,36,Wild Ones — Jessie Murph & Jelly Roll,Jessie Murph
55,2024-06-22,56,Dirt Cheap,Cody Johnson,55,55,8,Dirt Cheap — Cody Johnson,Cody Johnson
56,2024-06-22,57,Si No Quieres No,Luis R Conriquez x Neton Vega,53,53,6,Si No Quieres No — Luis R Conriquez x Neton Vega,Luis R Conriquez
57,2024-06-22,58,The Man He Sees In Me,Luke Combs,-,58,1,The Man He Sees In Me — Luke Combs,Luke Combs
58,2024-06-22,59,Illusion,Dua Lipa,59,43,9,Illusion — Dua Lipa,Dua Lipa
59,2024-06-22,60,Made For Me,Muni Long,54,20,22,Made For Me — Muni Long,Muni Long
60,2024-06-22,61,FE!N,Travis Scott Featuring Playboi Carti,56,5,32,FE!N — Travis Scott Featuring Playboi Carti,Travis Scott
61,2024-06-22,62,We Ride,Bryan Martin,61,61,10,We Ride — Bryan Martin,Bryan Martin
62,2024-06-22,63,Wind Up Missin' You,Tucker Wetmore,79,63,11,Wind Up Missin' You — Tucker Wetmore,Tucker Wetmore
63,2024-06-22,64,The Boy Is Mine,Ariana Grande,-,16,6,The Boy Is Mine — Ariana Grande,Ariana Grande
64,2024-06-22,65,Scared To Start,Michael Marcagi,60,54,17,Scared To Start — Michael Marcagi,Michael Marcagi
65,2024-06-22,66,Blue,Billie Eilish,52,25,4,Blue — Billie Eilish,Billie Eilish
66,2024-06-22,67,Red Wine Supernova,Chappell Roan,75,67,2,Red Wine Supernova — Chappell Roan,Chappell Roan
67,2024-06-22,68,Hot To Go!,Chappell Roan,80,68,2,Hot To Go! — Chappell Roan,Chappell Roan
68,2024-06-22,69,Nasty,Tinashe,90,69,2,Nasty — Tinashe,Tinashe
69,2024-06-22,70,Purple Gas,Zach Bryan & Noeline Hofmann,-,70,1,Purple Gas — Zach Bryan & Noeline Hofmann,Zach Bryan
70,2024-06-22,71,Take Her Home,Kenny Chesney,78,71,5,Take Her Home — Kenny Chesney,Kenny Chesney
