,chart_week,current_week,title,performers,last_week,peak_pos,wks_on_chart,song_id,main_artist
4,2022-01-15,5,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",50,5,2,"We Don't Talk About Bruno — Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",Carolina Gaitan
13,2022-01-15,14,Surface Pressure,Jessica Darrow,54,14,2,Surface Pressure — Jessica Darrow,Jessica Darrow
26,2022-01-15,27,Broadway Girls,Lil Durk Featuring Morgan Wallen,30,14,3,Broadway Girls — Lil Durk Featuring Morgan Wallen,Lil Durk
33,2022-01-15,34,Hrs And Hrs,Muni Long,83,34,2,Hrs And Hrs — Muni Long,Muni Long
61,2022-01-15,62,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",-,62,1,"The Family Madrigal — Stephanie Beatriz, Olga Merediz & Encanto Cast",Stephanie Beatriz
64,2022-01-15,65,Do It To It,Acraze Featuring Cherish,87,65,3,Do It To It — Acraze Featuring Cherish,Acraze
66,2022-01-15,67,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,-,67,1,What Else Can I Do? — Diane Guerrero & Stephanie Beatriz,Diane Guerrero
67,2022-01-15,68,Flower Shops,ERNEST Featuring Morgan Wallen,-,68,1,Flower Shops — ERNEST Featuring Morgan Wallen,ERNEST
68,2022-01-15,69,Fingers Crossed,Lauren Spencer-Smith,-,69,1,Fingers Crossed — Lauren Spencer-Smith,Lauren Spencer-Smith
71,2022-01-15,72,Beers On Me,"Dierks Bentley, Breland & HARDY",96,72,2,"Beers On Me — Dierks Bentley, Breland & HARDY",Dierks Bentley
73,2022-01-15,74,I Am Woman,Emmy Meli,92,74,2,I Am Woman — Emmy Meli,Emmy Meli
74,2022-01-15,75,23,Sam Hunt,99,75,2,23 — Sam Hunt,Sam Hunt
78,2022-01-15,79,Pressure,Ari Lennox,94,79,2,Pressure — Ari Lennox,Ari Lennox
81,2022-01-15,82,Waiting On A Miracle,Stephanie Beatriz,-,82,1,Waiting On A Miracle — Stephanie Beatriz,Stephanie Beatriz
82,2022-01-15,83,Dos Oruguitas,Sebastian Yatra,-,83,1,Dos Oruguitas — Sebastian Yatra,Sebastian Yatra
86,2022-01-15,87,AA,Walker Hayes,-,87,1,AA — Walker Hayes,Walker Hayes
89,2022-01-15,90,Home Sweet,Russell Dickerson,-,90,1,Home Sweet — Russell Dickerson,Russell Dickerson
90,2022-01-15,91,Come Back As A Country Boy,Blake Shelton,-,91,1,Come Back As A Country Boy — Blake Shelton,Blake Shelton
92,2022-01-15,93,Black Ball,YoungBoy Never Broke Again & Birdman,-,93,1,Black Ball — YoungBoy Never Broke Again & Birdman,YoungBoy Never Broke Again
96,2022-01-15,97,I Love You So,The Walters,-,97,1,I Love You So — The Walters,The Walters
98,2022-01-15,99,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,-,99,1,Never Wanted To Be That Girl — Carly Pearce & Ashley McBryde,Carly Pearce
3,2022-01-22,4,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",5,4,3,"We Don't Talk About Bruno — Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",Carolina Gaitan
6,2022-01-22,7,Pushin P,Gunna & Future Featuring Young Thug,-,7,1,Pushin P — Gunna & Future Featuring Young Thug,Gunna
10,2022-01-22,11,Sacrifice,The Weeknd,-,11,1,Sacrifice — The Weeknd,The Weeknd
13,2022-01-22,14,Surface Pressure,Jessica Darrow,14,14,3,Surface Pressure — Jessica Darrow,Jessica Darrow
18,2022-01-22,19,Fingers Crossed,Lauren Spencer-Smith,69,19,2,Fingers Crossed — Lauren Spencer-Smith,Lauren Spencer-Smith
22,2022-01-22,23,Thought I Was Playing,Gunna & 21 Savage,-,23,1,Thought I Was Playing — Gunna & 21 Savage,Gunna
24,2022-01-22,25,Hrs And Hrs,Muni Long,34,25,3,Hrs And Hrs — Muni Long,Muni Long
27,2022-01-22,28,25k Jacket,Gunna Featuring Lil Baby,-,28,1,25k Jacket — Gunna Featuring Lil Baby,Gunna
28,2022-01-22,29,Gasoline,The Weeknd,-,29,1,Gasoline — The Weeknd,The Weeknd
30,2022-01-22,31,Is There Someone Else?,The Weeknd,-,31,1,Is There Someone Else? — The Weeknd,The Weeknd
31,2022-01-22,32,Out Of Time,The Weeknd,-,32,1,Out Of Time — The Weeknd,The Weeknd
38,2022-01-22,39,How Do I Make You Love Me?,The Weeknd,-,39,1,How Do I Make You Love Me? — The Weeknd,The Weeknd
41,2022-01-22,42,Poochie Gown,Gunna,-,42,1,Poochie Gown — Gunna,Gunna
44,2022-01-22,45,Mop,Gunna Featuring Young Thug,-,45,1,Mop — Gunna Featuring Young Thug,Gunna
45,2022-01-22,46,Alotta Cake,Gunna,-,46,1,Alotta Cake — Gunna,Gunna
46,2022-01-22,47,How You Did That,Gunna Featuring Kodak Black,-,47,1,How You Did That — Gunna Featuring Kodak Black,Gunna
50,2022-01-22,51,Broadway Girls,Lil Durk Featuring Morgan Wallen,27,14,4,Broadway Girls — Lil Durk Featuring Morgan Wallen,Lil Durk
51,2022-01-22,52,Here We Go... Again,"The Weeknd Featuring Tyler, The Creator",-,52,1,"Here We Go... Again — The Weeknd Featuring Tyler, The Creator",The Weeknd
52,2022-01-22,53,Less Than Zero,The Weeknd,-,53,1,Less Than Zero — The Weeknd,The Weeknd
58,2022-01-22,59,IDK That Bitch,Gunna Featuring G Herbo,-,59,1,IDK That Bitch — Gunna Featuring G Herbo,Gunna
59,2022-01-22,60,Best Friends,The Weeknd,-,60,1,Best Friends — The Weeknd,The Weeknd
60,2022-01-22,61,Livin Wild,Gunna,-,61,1,Livin Wild — Gunna,Gunna
61,2022-01-22,62,I Heard You're Married,The Weeknd Featuring Lil Wayne,-,62,1,I Heard You're Married — The Weeknd Featuring Lil Wayne,The Weeknd
62,2022-01-22,63,Circles Around This Town,Maren Morris,-,63,1,Circles Around This Town — Maren Morris,Maren Morris
64,2022-01-22,65,Dawn FM,The Weeknd,-,65,1,Dawn FM — The Weeknd,The Weeknd
65,2022-01-22,66,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",62,62,2,"The Family Madrigal — Stephanie Beatriz, Olga Merediz & Encanto Cast",Stephanie Beatriz
67,2022-01-22,68,Private Island,Gunna,-,68,1,Private Island — Gunna,Gunna
69,2022-01-22,70,South To West,Gunna,-,70,1,South To West — Gunna,Gunna
70,2022-01-22,71,Dos Oruguitas,Sebastian Yatra,83,71,2,Dos Oruguitas — Sebastian Yatra,Sebastian Yatra
71,2022-01-22,72,You & Me,Gunna & Chloe,-,72,1,You & Me — Gunna & Chloe,Gunna
76,2022-01-22,77,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,67,67,2,What Else Can I Do? — Diane Guerrero & Stephanie Beatriz,Diane Guerrero
78,2022-01-22,79,Starry Eyes,The Weeknd,-,79,1,Starry Eyes — The Weeknd,The Weeknd
84,2022-01-22,85,Don't Break My Heart,The Weeknd,-,85,1,Don't Break My Heart — The Weeknd,The Weeknd
85,2022-01-22,86,Flooded,Gunna,-,86,1,Flooded — Gunna,Gunna
86,2022-01-22,87,Waiting On A Miracle,Stephanie Beatriz,82,82,2,Waiting On A Miracle — Stephanie Beatriz,Stephanie Beatriz
89,2022-01-22,90,Do It To It,Acraze Featuring Cherish,65,65,4,Do It To It — Acraze Featuring Cherish,Acraze
91,2022-01-22,92,Die Alone,Gunna & Chris Brown Featuring Yung Bleu,-,92,1,Die Alone — Gunna & Chris Brown Featuring Yung Bleu,Gunna
92,2022-01-22,93,Every Angel Is Terrifying,The Weeknd,-,93,1,Every Angel Is Terrifying — The Weeknd,The Weeknd
95,2022-01-22,96,23,Sam Hunt,75,75,3,23 — Sam Hunt,Sam Hunt
96,2022-01-22,97,I Am Woman,Emmy Meli,74,74,3,I Am Woman — Emmy Meli,Emmy Meli
98,2022-01-22,99,Beers On Me,"Dierks Bentley, Breland & HARDY",72,72,3,"Beers On Me — Dierks Bentley, Breland & HARDY",Dierks Bentley
99,2022-01-22,100,Pressure,Ari Lennox,79,79,3,Pressure — Ari Lennox,Ari Lennox
1,2022-01-29,2,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",4,2,4,"We Don't Talk About Bruno — Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",Carolina Gaitan
6,2022-01-29,7,Pushin P,Gunna & Future Featuring Young Thug,7,7,2,Pushin P — Gunna & Future Featuring Young Thug,Gunna
9,2022-01-29,10,Surface Pressure,Jessica Darrow,14,10,4,Surface Pressure — Jessica Darrow,Jessica Darrow
16,2022-01-29,17,Hrs And Hrs,Muni Long,25,17,4,Hrs And Hrs — Muni Long,Muni Long
22,2022-01-29,23,Sacrifice,The Weeknd,11,11,2,Sacrifice — The Weeknd,The Weeknd
23,2022-01-29,24,P Power,Gunna Featuring Drake,-,24,1,P Power — Gunna Featuring Drake,Gunna
29,2022-01-29,30,Fingers Crossed,Lauren Spencer-Smith,19,19,3,Fingers Crossed — Lauren Spencer-Smith,Lauren Spencer-Smith
30,2022-01-29,31,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,77,31,3,What Else Can I Do? — Diane Guerrero & Stephanie Beatriz,Diane Guerrero
42,2022-01-29,43,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",66,43,3,"The Family Madrigal — Stephanie Beatriz, Olga Merediz & Encanto Cast",Stephanie Beatriz
43,2022-01-29,44,Dos Oruguitas,Sebastian Yatra,71,44,3,Dos Oruguitas — Sebastian Yatra,Sebastian Yatra
46,2022-01-29,47,Broadway Girls,Lil Durk Featuring Morgan Wallen,51,14,5,Broadway Girls — Lil Durk Featuring Morgan Wallen,Lil Durk
48,2022-01-29,49,Eazy,The Game & Kanye West,-,49,1,Eazy — The Game & Kanye West,The Game
57,2022-01-29,58,Cold December,Rod Wave,-,58,1,Cold December — Rod Wave,Rod Wave
60,2022-01-29,61,Bring The Hook,YoungBoy Never Broke Again,-,61,1,Bring The Hook — YoungBoy Never Broke Again,YoungBoy Never Broke Again
61,2022-01-29,62,Thought I Was Playing,Gunna & 21 Savage,23,23,2,Thought I Was Playing — Gunna & 21 Savage,Gunna
64,2022-01-29,65,Waiting On A Miracle,Stephanie Beatriz,87,65,3,Waiting On A Miracle — Stephanie Beatriz,Stephanie Beatriz
66,2022-01-29,67,25k Jacket,Gunna Featuring Lil Baby,28,28,2,25k Jacket — Gunna Featuring Lil Baby,Gunna
67,2022-01-29,68,Beers On Me,"Dierks Bentley, Breland & HARDY",99,68,4,"Beers On Me — Dierks Bentley, Breland & HARDY",Dierks Bentley
70,2022-01-29,71,Iffy,Chris Brown,-,71,1,Iffy — Chris Brown,Chris Brown
71,2022-01-29,72,How You Did That,Gunna Featuring Kodak Black,47,47,2,How You Did That — Gunna Featuring Kodak Black,Gunna
74,2022-01-29,75,Out Of Time,The Weeknd,32,32,2,Out Of Time — The Weeknd,The Weeknd
75,2022-01-29,76,Do It To It,Acraze Featuring Cherish,90,65,5,Do It To It — Acraze Featuring Cherish,Acraze
77,2022-01-29,78,Poochie Gown,Gunna,42,42,2,Poochie Gown — Gunna,Gunna
78,2022-01-29,79,Never Say Never,Cole Swindell / Lainey Wilson,-,79,1,Never Say Never — Cole Swindell / Lainey Wilson,Cole Swindell
79,2022-01-29,80,Is There Someone Else?,The Weeknd,31,31,2,Is There Someone Else? — The Weeknd,The Weeknd
80,2022-01-29,81,Circles Around This Town,Maren Morris,63,63,2,Circles Around This Town — Maren Morris,Maren Morris
81,2022-01-29,82,Fish Scale,YoungBoy Never Broke Again,-,82,1,Fish Scale — YoungBoy Never Broke Again,YoungBoy Never Broke Again
83,2022-01-29,84,Pressure,Ari Lennox,100,79,4,Pressure — Ari Lennox,Ari Lennox
84,2022-01-29,85,23,Sam Hunt,96,75,4,23 — Sam Hunt,Sam Hunt
85,2022-01-29,86,Mop,Gunna Featuring Young Thug,45,45,2,Mop — Gunna Featuring Young Thug,Gunna
86,2022-01-29,87,Gasoline,The Weeknd,29,29,2,Gasoline — The Weeknd,The Weeknd
87,2022-01-29,88,Trouble With A Heartbreak,Jason Aldean,-,88,1,Trouble With A Heartbreak — Jason Aldean,Jason Aldean
88,2022-01-29,89,Alotta Cake,Gunna,46,46,2,Alotta Cake — Gunna,Gunna
89,2022-01-29,90,Surround Sound,JID Featuring 21 Savage & Baby Tate,-,90,1,Surround Sound — JID Featuring 21 Savage & Baby Tate,JID
90,2022-01-29,91,Less Than Zero,The Weeknd,53,53,2,Less Than Zero — The Weeknd,The Weeknd
92,2022-01-29,93,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,-,93,2,Never Wanted To Be That Girl — Carly Pearce & Ashley McBryde,Carly Pearce
93,2022-01-29,94,All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",-,94,1,"All Of You — Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",Stephanie Beatriz
94,2022-01-29,95,IDK That Bitch,Gunna Featuring G Herbo,59,59,2,IDK That Bitch — Gunna Featuring G Herbo,Gunna
97,2022-01-29,98,AA,Walker Hayes,-,87,2,AA — Walker Hayes,Walker Hayes
98,2022-01-29,99,Livin Wild,Gunna,61,61,2,Livin Wild — Gunna,Gunna
0,2022-02-05,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",2,1,5,"We Don't Talk About Bruno — Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",Carolina Gaitan
6,2022-02-05,7,Pushin P,Gunna & Future Featuring Young Thug,7,7,3,Pushin P — Gunna & Future Featuring Young Thug,Gunna
8,2022-02-05,9,Surface Pressure,Jessica Darrow,10,9,5,Surface Pressure — Jessica Darrow,Jessica Darrow
15,2022-02-05,16,Hrs And Hrs,Muni Long,17,16,5,Hrs And Hrs — Muni Long,Muni Long
19,2022-02-05,20,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",43,20,4,"The Family Madrigal — Stephanie Beatriz, Olga Merediz & Encanto Cast",Stephanie Beatriz
26,2022-02-05,27,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,31,27,4,What Else Can I Do? — Diane Guerrero & Stephanie Beatriz,Diane Guerrero
29,2022-02-05,30,Fingers Crossed,Lauren Spencer-Smith,30,19,4,Fingers Crossed — Lauren Spencer-Smith,Lauren Spencer-Smith
35,2022-02-05,36,Dos Oruguitas,Sebastian Yatra,44,36,4,Dos Oruguitas — Sebastian Yatra,Sebastian Yatra
36,2022-02-05,37,Sacrifice,The Weeknd,23,11,3,Sacrifice — The Weeknd,The Weeknd
37,2022-02-05,38,Cold December,Rod Wave,58,38,2,Cold December — Rod Wave,Rod Wave
41,2022-02-05,42,Light Switch,Charlie Puth,-,42,1,Light Switch — Charlie Puth,Charlie Puth
47,2022-02-05,48,Waiting On A Miracle,Stephanie Beatriz,65,48,4,Waiting On A Miracle — Stephanie Beatriz,Stephanie Beatriz
51,2022-02-05,52,P Power,Gunna Featuring Drake,24,24,2,P Power — Gunna Featuring Drake,Gunna
53,2022-02-05,54,Broadway Girls,Lil Durk Featuring Morgan Wallen,47,14,6,Broadway Girls — Lil Durk Featuring Morgan Wallen,Lil Durk
54,2022-02-05,55,AA,Walker Hayes,98,55,3,AA — Walker Hayes,Walker Hayes
57,2022-02-05,58,No Switch,YoungBoy Never Broke Again,-,58,1,No Switch — YoungBoy Never Broke Again,YoungBoy Never Broke Again
59,2022-02-05,60,Bring It On,YoungBoy Never Broke Again,-,60,1,Bring It On — YoungBoy Never Broke Again,YoungBoy Never Broke Again
63,2022-02-05,64,Bring The Hook,YoungBoy Never Broke Again,61,61,2,Bring The Hook — YoungBoy Never Broke Again,YoungBoy Never Broke Again
66,2022-02-05,67,Beers On Me,"Dierks Bentley, Breland & HARDY",68,67,5,"Beers On Me — Dierks Bentley, Breland & HARDY",Dierks Bentley
67,2022-02-05,68,Fish Scale,YoungBoy Never Broke Again,82,68,2,Fish Scale — YoungBoy Never Broke Again,YoungBoy Never Broke Again
69,2022-02-05,70,Eazy,The Game & Kanye West,49,49,2,Eazy — The Game & Kanye West,The Game
71,2022-02-05,72,Flossin',Internet Money Featuring YoungBoy Never Broke Again,-,72,1,Flossin' — Internet Money Featuring YoungBoy Never Broke Again,Internet Money
72,2022-02-05,73,Proud,Key Glock,-,73,1,Proud — Key Glock,Key Glock
73,2022-02-05,74,Know Like I Know,YoungBoy Never Broke Again,-,74,1,Know Like I Know — YoungBoy Never Broke Again,YoungBoy Never Broke Again
74,2022-02-05,75,Do It To It,Acraze Featuring Cherish,76,65,6,Do It To It — Acraze Featuring Cherish,Acraze
77,2022-02-05,78,Pressure,Ari Lennox,84,78,5,Pressure — Ari Lennox,Ari Lennox
78,2022-02-05,79,23,Sam Hunt,85,75,5,23 — Sam Hunt,Sam Hunt
79,2022-02-05,80,Never Say Never,Cole Swindell / Lainey Wilson,79,79,2,Never Say Never — Cole Swindell / Lainey Wilson,Cole Swindell
80,2022-02-05,81,I Love You So,The Walters,-,81,2,I Love You So — The Walters,The Walters
81,2022-02-05,82,All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",94,82,2,"All Of You — Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",Stephanie Beatriz
83,2022-02-05,84,Circles Around This Town,Maren Morris,81,63,3,Circles Around This Town — Maren Morris,Maren Morris
85,2022-02-05,86,2Hoo,YoungBoy Never Broke Again,-,86,1,2Hoo — YoungBoy Never Broke Again,YoungBoy Never Broke Again
86,2022-02-05,87,Long Live,YoungBoy Never Broke Again,-,87,1,Long Live — YoungBoy Never Broke Again,YoungBoy Never Broke Again
87,2022-02-05,88,Thought I Was Playing,Gunna & 21 Savage,62,23,3,Thought I Was Playing — Gunna & 21 Savage,Gunna
88,2022-02-05,89,Dis & That,YoungBoy Never Broke Again,-,89,1,Dis & That — YoungBoy Never Broke Again,YoungBoy Never Broke Again
90,2022-02-05,91,Beautiful Lies,Yung Bleu & Kehlani,-,91,1,Beautiful Lies — Yung Bleu & Kehlani,Yung Bleu
91,2022-02-05,92,25k Jacket,Gunna Featuring Lil Baby,67,28,3,25k Jacket — Gunna Featuring Lil Baby,Gunna
93,2022-02-05,94,Home Sweet,Russell Dickerson,-,90,2,Home Sweet — Russell Dickerson,Russell Dickerson
95,2022-02-05,96,Come Back As A Country Boy,Blake Shelton,-,91,2,Come Back As A Country Boy — Blake Shelton,Blake Shelton
96,2022-02-05,97,Smoke One,YoungBoy Never Broke Again,-,97,1,Smoke One — YoungBoy Never Broke Again,YoungBoy Never Broke Again
97,2022-02-05,98,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,93,93,3,Never Wanted To Be That Girl — Carly Pearce & Ashley McBryde,Carly Pearce
98,2022-02-05,99,I Am Woman,Emmy Meli,-,74,4,I Am Woman — Emmy Meli,Emmy Meli
99,2022-02-05,100,Iffy,Chris Brown,71,71,2,Iffy — Chris Brown,Chris Brown
0,2022-02-12,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,6,"We Don't Talk About Bruno — Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",Carolina Gaitan
7,2022-02-12,8,Surface Pressure,Jessica Darrow,9,8,6,Surface Pressure — Jessica Darrow,Jessica Darrow
8,2022-02-12,9,Pushin P,Gunna & Future Featuring Young Thug,7,7,4,Pushin P — Gunna & Future Featuring Young Thug,Gunna
17,2022-02-12,18,Hrs And Hrs,Muni Long,16,16,6,Hrs And Hrs — Muni Long,Muni Long
19,2022-02-12,20,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",20,20,5,"The Family Madrigal — Stephanie Beatriz, Olga Merediz & Encanto Cast",Stephanie Beatriz
30,2022-02-12,31,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,27,27,5,What Else Can I Do? — Diane Guerrero & Stephanie Beatriz,Diane Guerrero
31,2022-02-12,32,Fingers Crossed,Lauren Spencer-Smith,30,19,5,Fingers Crossed — Lauren Spencer-Smith,Lauren Spencer-Smith
37,2022-02-12,38,Dos Oruguitas,Sebastian Yatra,36,36,5,Dos Oruguitas — Sebastian Yatra,Sebastian Yatra
39,2022-02-12,40,Sacrifice,The Weeknd,37,11,4,Sacrifice — The Weeknd,The Weeknd
48,2022-02-12,49,Light Switch,Charlie Puth,42,42,2,Light Switch — Charlie Puth,Charlie Puth
49,2022-02-12,50,Waiting On A Miracle,Stephanie Beatriz,48,48,5,Waiting On A Miracle — Stephanie Beatriz,Stephanie Beatriz
50,2022-02-12,51,Rumors,Gucci Mane Featuring Lil Durk,-,51,1,Rumors — Gucci Mane Featuring Lil Durk,Gucci Mane
51,2022-02-12,52,P Power,Gunna Featuring Drake,52,24,3,P Power — Gunna Featuring Drake,Gunna
52,2022-02-12,53,23,Sam Hunt,79,53,6,23 — Sam Hunt,Sam Hunt
53,2022-02-12,54,Broadway Girls,Lil Durk Featuring Morgan Wallen,54,14,7,Broadway Girls — Lil Durk Featuring Morgan Wallen,Lil Durk
55,2022-02-12,56,AA,Walker Hayes,55,55,4,AA — Walker Hayes,Walker Hayes
56,2022-02-12,57,High,The Chainsmokers,-,57,1,High — The Chainsmokers,The Chainsmokers
61,2022-02-12,62,Cold December,Rod Wave,38,38,3,Cold December — Rod Wave,Rod Wave
62,2022-02-12,63,Beers On Me,"Dierks Bentley, Breland & HARDY",67,63,6,"Beers On Me — Dierks Bentley, Breland & HARDY",Dierks Bentley
66,2022-02-12,67,Pressure,Ari Lennox,78,67,6,Pressure — Ari Lennox,Ari Lennox
68,2022-02-12,69,Never Say Never,Cole Swindell / Lainey Wilson,80,69,3,Never Say Never — Cole Swindell / Lainey Wilson,Cole Swindell
69,2022-02-12,70,Do It To It,Acraze Featuring Cherish,75,65,7,Do It To It — Acraze Featuring Cherish,Acraze
70,2022-02-12,71,I Love You So,The Walters,81,71,3,I Love You So — The Walters,The Walters
71,2022-02-12,72,Johnny P's Caddy,Benny The Butcher & J. Cole,-,72,1,Johnny P's Caddy — Benny The Butcher & J. Cole,Benny The Butcher
73,2022-02-12,74,All Of You,"Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",82,74,3,"All Of You — Stephanie Beatriz, Olga Merediz, John Leguizamo, Adassa, Maluma & Encanto Cast",Stephanie Beatriz
76,2022-02-12,77,Circles Around This Town,Maren Morris,84,63,4,Circles Around This Town — Maren Morris,Maren Morris
78,2022-02-12,79,Peru,Fireboy DML & Ed Sheeran,-,79,1,Peru — Fireboy DML & Ed Sheeran,Fireboy DML
79,2022-02-12,80,Beautiful Lies,Yung Bleu & Kehlani,91,80,2,Beautiful Lies — Yung Bleu & Kehlani,Yung Bleu
81,2022-02-12,82,If I Was A Cowboy,Miranda Lambert,-,82,1,If I Was A Cowboy — Miranda Lambert,Miranda Lambert
82,2022-02-12,83,No Switch,YoungBoy Never Broke Again,58,58,2,No Switch — YoungBoy Never Broke Again,YoungBoy Never Broke Again
84,2022-02-12,85,Come Back As A Country Boy,Blake Shelton,96,85,3,Come Back As A Country Boy — Blake Shelton,Blake Shelton
85,2022-02-12,86,Shotta Flow 6,NLE Choppa,-,86,1,Shotta Flow 6 — NLE Choppa,NLE Choppa
86,2022-02-12,87,Iffy,Chris Brown,100,71,3,Iffy — Chris Brown,Chris Brown
87,2022-02-12,88,Home Sweet,Russell Dickerson,94,88,3,Home Sweet — Russell Dickerson,Russell Dickerson
88,2022-02-12,89,Vice City,XXXTENTACION,-,89,1,Vice City — XXXTENTACION,XXXTENTACION
90,2022-02-12,91,Numb Little Bug,Em Beihold,-,91,1,Numb Little Bug — Em Beihold,Em Beihold
91,2022-02-12,92,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,98,92,4,Never Wanted To Be That Girl — Carly Pearce & Ashley McBryde,Carly Pearce
92,2022-02-12,93,Flower Shops,ERNEST Featuring Morgan Wallen,-,68,2,Flower Shops — ERNEST Featuring Morgan Wallen,ERNEST
93,2022-02-12,94,Infinity,Jaymes Young,-,94,1,Infinity — Jaymes Young,Jaymes Young
94,2022-02-12,95,The Motto,Tiesto & Ava Max,-,95,1,The Motto — Tiesto & Ava Max,Tiesto
96,2022-02-12,97,Megan's Piano,Megan Thee Stallion,-,97,1,Megan's Piano — Megan Thee Stallion,Megan Thee Stallion
97,2022-02-12,98,Eazy,The Game & Kanye West,70,49,3,Eazy — The Game & Kanye West,The Game
98,2022-02-12,99,Fish Scale,YoungBoy Never Broke Again,68,68,3,Fish Scale — YoungBoy Never Broke Again,YoungBoy Never Broke Again
99,2022-02-12,100,"Colombia, Mi Encanto",Carlos Vives,-,100,1,"Colombia, Mi Encanto — Carlos Vives",Carlos Vives
0,2022-02-19,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,7,"We Don't Talk About Bruno — Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",Carolina Gaitan
1,2022-02-19,2,Do We Have A Problem?,Nicki Minaj X Lil Baby,-,2,1,Do We Have A Problem? — Nicki Minaj X Lil Baby,Nicki Minaj
9,2022-02-19,10,Surface Pressure,Jessica Darrow,8,8,7,Surface Pressure — Jessica Darrow,Jessica Darrow
10,2022-02-19,11,Pushin P,Gunna & Future Featuring Young Thug,9,7,5,Pushin P — Gunna & Future Featuring Young Thug,Gunna
18,2022-02-19,19,Hrs And Hrs,Muni Long,18,16,7,Hrs And Hrs — Muni Long,Muni Long
19,2022-02-19,20,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",20,20,6,"The Family Madrigal — Stephanie Beatriz, Olga Merediz & Encanto Cast",Stephanie Beatriz
32,2022-02-19,33,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,31,27,6,What Else Can I Do? — Diane Guerrero & Stephanie Beatriz,Diane Guerrero
33,2022-02-19,34,Fingers Crossed,Lauren Spencer-Smith,32,19,6,Fingers Crossed — Lauren Spencer-Smith,Lauren Spencer-Smith
39,2022-02-19,40,Don't Play That,King Von & 21 Savage,-,40,1,Don't Play That — King Von & 21 Savage,King Von
40,2022-02-19,41,Dos Oruguitas,Sebastian Yatra,38,36,6,Dos Oruguitas — Sebastian Yatra,Sebastian Yatra
42,2022-02-19,43,Cigarettes,Juice WRLD,-,43,1,Cigarettes — Juice WRLD,Juice WRLD
45,2022-02-19,46,Sacrifice,The Weeknd,40,11,5,Sacrifice — The Weeknd,The Weeknd
48,2022-02-19,49,Light Switch,Charlie Puth,49,42,3,Light Switch — Charlie Puth,Charlie Puth
51,2022-02-19,52,She's All I Wanna Be,Tate McRae,-,52,1,She's All I Wanna Be — Tate McRae,Tate McRae
52,2022-02-19,53,Waiting On A Miracle,Stephanie Beatriz,50,48,6,Waiting On A Miracle — Stephanie Beatriz,Stephanie Beatriz
