,song_id,main_artist,main_artist_ig,main_artist_yt,main_artist_tt
257,N95 — Kendrick Lamar,Kendrick Lamar,kendricklamar,@kendricklamar,
258,"Die Hard — Kendrick Lamar, Blxst & Amanda Reifer",Kendrick Lamar,kendricklamar,@kendricklamar,
259,You Proof — Morgan Wallen,Morgan Wallen,morganwallen,@morganwallen,morganwallen
260,Silent Hill — Kendrick Lamar & Kodak Black,Kendrick Lamar,kendricklamar,@kendricklamar,
261,United In Grief — Kendrick Lamar,Kendrick Lamar,kendricklamar,@kendricklamar,
262,Father Time — Kendrick Lamar Featuring Sampha,Kendrick Lamar,kendricklamar,@kendricklamar,
263,Rich Spirit — Kendrick Lamar,Kendrick Lamar,kendricklamar,@kendricklamar,
264,We Cry Together — Kendrick Lamar & Taylour Paige,Kendrick Lamar,kendricklamar,@kendricklamar,
265,Worldwide Steppers — Kendrick Lamar,Kendrick Lamar,kendricklamar,@kendricklamar,
266,Count Me Out — Kendrick Lamar,Kendrick Lamar,kendricklamar,@kendricklamar,
267,"Purple Hearts — Kendrick Lamar, Summer Walker & Ghostface Killah",Kendrick Lamar,kendricklamar,@kendricklamar,
268,"Savior — Kendrick Lamar, Baby Keem, & Sam Dew",Kendrick Lamar,kendricklamar,@kendricklamar,
269,Cooped Up — Post Malone Featuring Roddy Ricch,Post Malone,postmalone,@postmalone,postmalone
270,Rich (Interlude) — Kendrick Lamar,Kendrick Lamar,kendricklamar,@kendricklamar,
271,Mr. Morale — Kendrick Lamar & Tanna Leone,Kendrick Lamar,kendricklamar,@kendricklamar,
272,Crown — Kendrick Lamar,Kendrick Lamar,kendricklamar,@kendricklamar,
273,Auntie Diaries — Kendrick Lamar,Kendrick Lamar,kendricklamar,@kendricklamar,
274,Savior (Interlude) — Kendrick Lamar,Kendrick Lamar,kendricklamar,@kendricklamar,
275,Mirror — Kendrick Lamar,Kendrick Lamar,kendricklamar,@kendricklamar,
276,Mother I Sober — Kendrick Lamar Featuring Beth Gibbons,Kendrick Lamar,kendricklamar,@kendricklamar,
277,Late Night Talking — Harry Styles,Harry Styles,harrystyles,@HarryStyles,hshq
278,Music For A Sushi Restaurant — Harry Styles,Harry Styles,harrystyles,@HarryStyles,hshq
